Phone Number Combined,Company Name,Primary SIC Code Description,Company Website,Location Address,Location City,Location State,Location ZIP Code,Executive First Name,Home Business,Credit Rating,Advertising Expense,Latitude,Longitude,Company Description
(415) 334-5050,19th Auto Body Ctr,Automobile Body-Repairing & Painting,http://19thautobody.Com,3950 19th Ave,San Francisco,CA,94132,Jay,No,Excellent,"$50,000 to $100,000",037.716841,-122.471879,
(650) 301-5050,19th Autobody Daly City,Automobile Body-Repairing & Painting,http://19thautobody.Com,7323 Mission St,Daly City,CA,94014,,No,Very Good,"$10,000 to $20,000",037.690901,-122.465485,
(650) 731-3216,24 7 Available Daly City,Locks & Locksmiths,http://Acertifiedlocksmith.Com,111 Accacia St,Daly City,CA,94014,Ben,No,Good,"Less than $5,000",037.706676,-122.414955,
(650) 756-3303,24 Hour Fitness,Health Clubs Studios & Gymnasiums,http://24hourfitness.Com,373 Gellert Blvd,Daly City,CA,94015,Joe,No,Excellent,"$20,000 to $50,000",037.665180,-122.466931,
(650) 985-2400,24 Hour Fitness,Health Clubs Studios & Gymnasiums,http://24hourfitness.Com,3951 Alemany Blvd,San Francisco,CA,94132,Ben,No,Excellent,"$50,000 to $100,000",037.711247,-122.467395,"Based IN San Francisco, Calif., Bally Total Fitness Is One Of The Health Club Leaders IN The United States. The Company Has More Than 40 Years Of Experience And Is A Commercial Operator Of Fitness Centers With Approximately 400 Clubs IN The United States, The Caribbean, Mexico, South Korea And China. It Offers Its Members A Variety Of Classes Ranging From Pilates To Martial Arts. Additionally, Bally Total Fitness Provides Bfit, Its Weight Loss Management Program As Well As Personal Training."
(415) 586-6851,24/7 Rooter & Plumbing,Plumbing Contractors,,241 Flournoy St,San Francisco,CA,94112,Ray,No,Very Good,"$5,000 to $10,000",037.708898,-122.462552,
(415) 239-8929,3 Mil WIL Hair Salon,Barbers,,4077 19th Ave,San Francisco,CA,94132,Xavier,No,Very Good,"Less than $5,000",037.714942,-122.470531,
(650) 755-1222,59 B Dental,Dentists,http://Titustangdds.Com,59b Serramonte Ctr,Daly City,CA,94015,Titus C,No,Excellent,,037.673916,-122.469814,
(650) 992-1285,76,Service Stations-Gasoline & Oil,http://76.Com,2428 Junipero Serra Blvd,Daly City,CA,94015,Gary,No,Excellent,"$5,000 to $10,000",037.692720,-122.471334,76 Gas Stations Top Tier Gasoline And Other Amenities For Drivers To Fuel Up For Their Adventures. Whether Commuting OR Taking A Road Trip With Friends. 76. We'Re On The Driver's Side
(415) 431-3204,A & J Towing,Wrecker Service,,5900 Mission St,San Francisco,CA,94112,Jay,No,Very Good,"$5,000 to $10,000",037.708759,-122.453480,
(650) 992-1120,A C Heating & Air Cond Svc,Mechanical Contractors,,,Daly City,CA,94015,,No,Very Good,"$5,000 to $10,000",037.680537,-122.478908,
(415) 712-0955,A D T-Customer Svc,Security Systems,,125 Serramonte Ctr,Daly City,CA,94015,,No,Excellent,"$100,000 to $250,000",037.671223,-122.468182,
(415) 334-9817,A Darts Central,Sporting Goods-Retail,http://Dartscentral.Com,5 Plymouth Ave,San Francisco,CA,94112,Don,No,Very Good,"Less than $5,000",037.711453,-122.456131,
(650) 993-4784,A Plus Accounting,Tax Return Preparation & Filing,,333 Gellert Blvd # 134,Daly City,CA,94015,Yeni,No,Good,"Less than $5,000",037.666653,-122.466813,
(650) 263-4740,A Plus Quality HVAC,Air Conditioning Contractors & Systems,http://Sanmateohvac.Com,1076 Gilman Dr,Daly City,CA,94015,,No,Very Good,"$5,000 to $10,000",037.686589,-122.480752,
(415) 585-2009,A R Dental Care,Dentists,,6063 Mission St,Daly City,CA,94014,Alfredo A,No,Excellent,,037.707511,-122.456180,
(415) 963-4121,A R Oral Surgery & Implant Ctr,Dentists,http://Archstoneoralsurgery.Com,6063 Mission St,Daly City,CA,94014,Alfredo A,No,Excellent,"$5,000 to $10,000",037.707511,-122.456180,
(650) 228-4349,A+ Quality H V A C,Air Conditioning Contractors & Systems,http://Aplusqualityhvac.Com,1076 Gilman Dr,Daly City,CA,94015,,No,Very Good,"$5,000 to $10,000",037.686589,-122.480752,
(650) 301-1400,AAA Automobile Club-Northern,Automobile Clubs,http://Calstate.Aaa.Com,455 Hickey Blvd # 3,Daly City,CA,94015,Al,No,Institution Or Government,"Over $250,000",037.663158,-122.466967,"Aaa Membership Gives You More Than Just Peace Of Mind On The Road--Members Get Access To Big Savings Including Exclusive Rates On Aaa Insurance And Discounts At Hotels, Retailers, And More."
(415) 440-0300,AAA Intercom Systems,Intercommunication Eqpt Systs/Svc (Whls),http://Intercoms.Net,18 Westlawn Ave,Daly City,CA,94015,Mark,No,Very Good,"$10,000 to $20,000",037.705425,-122.477455,
(415) 715-6900,Abbey Party Rents,Party Supplies,http://Abbeyrentssf.Com,411 Allan St,Daly City,CA,94014,Mike,No,Excellent,"$100,000 to $250,000",037.707977,-122.409780,"Located IN Daly City, Calif., Abbey Rents Offers A Collection Of Tables, Linen And Glassware, As Well As Event Production Equipment For Private, Corporate, Civic And Retail Events. The Company Employs Party Experts Who Provide Party Planning Tips. It Obtains Fire Permits, As Well As Arranges Fire Watch Staff. Abbey Rents Also Offers Event Planning And Coordination Services For Weddings, Cocktail Parties, Holiday Gatherings, Corporate Functions, Film Festivals And Street Fairs. The Company Provides On-Site Inspection And Event Layout Design Services. It Offers Rental Bowls, Glass And Silver Pitchers And Ice Tubs. The Company Additionally Provides Stages And Tents Of Various Sizes For Large And Small Occasions. Founded IN 1947, Its Clients Include Bay To Breakers, California Pacific Medical Center And The San Francisco Unified School District."
(650) 992-4717,Abdullah Accounting Svc Inc,Tax Return Preparation & Filing,http://Abdullahaccounting.Com,318 Westlake Ctr # 292,Daly City,CA,94015,Basheer,No,Very Good,"Less than $5,000",037.700695,-122.483057,
(650) 997-3840,Able Computer Academy,Junior-Community College-Tech Institutes,,2171 Junipero Serra Blvd,Daly City,CA,94014,,No,Institution Or Government,,037.698360,-122.470480,
(650) 756-9188,Absolute Beauty,Beauty Salons,,47 Skyline Plz,Daly City,CA,94015,Cathy,No,Very Good,"Less than $5,000",037.682798,-122.488065,
(650) 410-5963,Acclaim Home Care,Home Health Service,,318 Westlake Ctr,Daly City,CA,94015,Randy,No,Very Good,"Less than $5,000",037.700695,-122.483057,
(650) 515-4973,Adt A Alarm & Home Security,Security Systems,,455 Hickey Blvd,Daly City,CA,94015,,No,Excellent,"$100,000 to $250,000",037.663158,-122.466967,
(415) 294-2027,ADT Authorized Dealer,Security Systems,http://Adt.Com,3 Serramonte Ctr,Daly City,CA,94015,,No,Very Good,"$10,000 to $20,000",037.672304,-122.470901,We Sell And Install Adt Home Security Systems IN Homes And Businesses.
(415) 840-0028,Affordable Garage Door Svc,Doors-Garage,,2700 Bayshore Blvd,Daly City,CA,94014,,No,Good,"$10,000 to $20,000",037.705085,-122.407217,
(415) 722-7711,AGC,Electric Contractors,http://Agoodcompany.Net,170 Dennis Dr,Daly City,CA,94015,,No,Very Good,"Less than $5,000",037.653852,-122.463342,
(650) 731-0626,Agoncillo Marivic C DDS,Dentists,http://Dentist-Dalycity.Com,343 Gellert Blvd # G,Daly City,CA,94015,Marivic C,No,Excellent,,037.666673,-122.468584,
(415) 334-0156,Aigul & Assoc,Tax Return Preparation & Filing,http://Aigulcpa.Com,4095 19th Ave,San Francisco,CA,94132,Aigul,No,Very Good,"Less than $5,000",037.714547,-122.470149,
(415) 334-0156,Aigul & Assoc Taxes & Acctg,Financial Advisory Services,,4075 19th Ave,San Francisco,CA,94132,Aigul,No,Excellent,"$5,000 to $10,000",037.714990,-122.470577,
(650) 994-6142,Al Fin Restaurant,Restaurants,http://Alfinrestaurant.Com,7398 Mission St,Daly City,CA,94014,Al,No,Very Good,"Less than $5,000",037.689955,-122.466144,
(650) 755-3454,Al-Tone Overhead Door Inc,Doors-Garage,http://Altonegaragedoor.Com,,Daly City,CA,94015,,No,Very Good,"$10,000 to $20,000",037.680537,-122.478908,
(650) 992-4800,Alan Naguit-State Farm Ins,Insurance,http://Insuredbyalan.Com,333 Gellert Blvd # 101,Daly City,CA,94015,Alan,No,Very Good,,037.666653,-122.466813,"Our Mission Is To Help People Manage The Risks Of Everyday Life, Recover From The Unexpected And Realize Their Dreams."
(650) 755-0244,Albertos Iron Works,Ornamental Metal Work (Mfrs),http://Albertosiron.Com,3348 San Jose Ave,Daly City,CA,94014,,No,Very Good,"Less than $5,000",037.706637,-122.461140,
(650) 249-5190,Alejo Auto Repair,Automobile Repairing & Service,,7338 Mission St # A,Daly City,CA,94014,Debra,No,Very Good,"Less than $5,000",037.690739,-122.466135,
(650) 997-3317,Alemany Dental,Dentists,,3911 Alemany Blvd # 1002,San Francisco,CA,94132,Jody,No,Excellent,"$5,000 to $10,000",037.710890,-122.466736,
(650) 756-3226,Alive Insurance Svc,Insurance,,6676 Mission St # G,Daly City,CA,94014,Anthony,No,Excellent,"$5,000 to $10,000",037.701631,-122.463481,
(650) 757-1588,All About Image,Beauty Salons,,75 Alemany St,Daly City,CA,94014,,No,Very Good,"Less than $5,000",037.688381,-122.467565,
(650) 550-4482,All Star Motors,Automobile Dealers-Used Cars,,7311 Mission St,Daly City,CA,94014,,No,Good,"$10,000 to $20,000",037.691158,-122.465412,
(650) 992-0800,Allstate,Insurance,http://Farmers.Com,163 School St,Daly City,CA,94014,Manuel,No,Excellent,"Less than $5,000",037.693331,-122.467950,
(650) 301-1678,Allstate Financial Svc,Financial Advisory Services,http://Allstate.Com,295 89th St # 103,Daly City,CA,94015,,No,Excellent,"$20,000 to $50,000",037.691597,-122.471913,
(650) 301-1810,Allstate Insurance,Insurance,http://Allstate.Com,100 Skyline Plz # 208,Daly City,CA,94015,Sam,No,Excellent,"Less than $5,000",037.682029,-122.488128,"Our Family Has Worked Closely With Allstate For Years To Help People With Their Insurance Needs - From Homes To Auto To Boats And More. Our Quality, Service-Oriented Agency Is Not Only Owned And Operated By A Family, Customers Tell US We Make Them Feel Like Family Too. I'm Proud To Work With A Company Who's Been Serving Satisfied Customers For Over 80 Years. I Can Offer Quality Insurance That's Affordable And Provide Easy Access For You To Contact ME IN Person, Over The Phone, OR Through My Web Site - Wherever And Whenever You Need. Both Allstate And I Know How Important Price And Service Are For A Long-Lasting Relationship. I'm Committed To Helping You: Determine Your Immediate And Long-Term Financial Goals; Find Solutions To Meet Your And Your Family's Needs; Understand Investment Solutions, Such As Annuities, Iras, Life Insurance And College Savings; Review Your Insurance And Financial Needs As They Change; Answer Questions And Provide Ongoing Service And Support."
