Date List Produced,Record Expiration Date,Company Name,Mailing Address,Mailing City,Mailing State,Mailing Zip Code,Mailing Zip 4,Credit Rating Score,Location Employee Size Range,IUSA Number,Executive Last Name,Executive First Name,Executive Gender,Executive Title,Fax Number Combined,Phone Number Combined,Primary SIC Code,Primary SIC Code Description,Location Sales Volume Range,SIC Code 1,SIC Code Description 1,Lead Status,Tags
10/02/2018,04/02/2019,1-800-Radiator & A/C,,Benicia,CA,94510,,C,1 to 4,734425238,,,,,,(414) 607-6820,7539-01,Automobile Radiator Repairing,"Less Than $500,000",7539-01,Automobile Radiator Repairing,,
10/02/2018,04/02/2019,1-800-Radiator & A/C,2990 Bay Vista Ct,Benicia,CA,94510,1194,B,1 to 4,721086095,,,,,,(858) 271-7161,5531-32,Radiators-Automotive-Retail,"$500,000-1 Million",5531-32,Radiators-Automotive-Retail,,
10/02/2018,04/02/2019,1-800-Radiator & A/C,4650 E 2nd St,Benicia,CA,94510,1049,B,1 to 4,711792612,,,,,,(707) 297-6019,5531-32,Radiators-Automotive-Retail,"$500,000-1 Million",5531-32,Radiators-Automotive-Retail,,
10/02/2018,04/02/2019,7 Flags Car Wash Self Svc,451 E O St,Benicia,CA,94510,,B,1 to 4,858541055,Anthony,Jack,Male,Owner,,(707) 746-0777,7542-01,Car Washing & Polishing,"Less Than $500,000",7542-01,Car Washing & Polishing,,
10/02/2018,04/02/2019,907 Grill,907 1st St,Benicia,CA,94510,3217,A,5 to 9,626686414,Hadeed,Ibrahim,Male,Owner,,(707) 746-0505,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,A Hofheimer David H Dc Esq,PO Box 52,Benicia,CA,94510,0052,B,1 to 4,718050548,Hofheimer,David H,Male,Owner,,(707) 745-9700,8041-01,Chiropractors DC,"Less Than $500,000",8041-01,Chiropractors DC,,
10/02/2018,04/02/2019,A LA Mer Skin Spa,,Benicia,CA,94510,,B+,1 to 4,657655601,,,,,,(707) 745-2488,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,A Lago Salon,949 Grant St # A,Benicia,CA,94510,2938,B+,1 to 4,416094575,Lago,Alex,Male,Owner,,(707) 745-1450,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,A Lily Of Gold,2006 Columbus Pkwy,Benicia,CA,94510,5400,B+,1 to 4,415569491,Pangelina,Amanda,Female,Owner,,(707) 747-5000,7231-19,Spas-Beauty & Day,"Less Than $500,000",7231-19,Spas-Beauty & Day,,
10/02/2018,04/02/2019,A Wise Tax Svc,1350 Hayes St # B14,Benicia,CA,94510,2933,C+,1 to 4,427393082,Wise,Al,Male,Owner,,(707) 634-4829,8721-05,Tax Consultants,"Less Than $500,000",8721-05,Tax Consultants,,
10/02/2018,04/02/2019,Abbott Concrete,832 Elane Way,Benicia,CA,94510,3023,B+,5 to 9,412882001,Abbott,Jason,Male,Owner,,(707) 758-6141,1771-05,Concrete Contractors,"$500,000-1 Million",1771-05,Concrete Contractors,,
10/02/2018,04/02/2019,ABC Muffler & Hitch,4592 E 2nd St # G,Benicia,CA,94510,1000,A,1 to 4,858542079,Richards,Jeff,Male,President,,(707) 746-5488,7533-01,Mufflers & Exhaust Systems-Engine,"Less Than $500,000",7533-01,Mufflers & Exhaust Systems-Engine,,
10/02/2018,04/02/2019,Accurate Electric,,Benicia,CA,94510,,C,1 to 4,710333302,,,,,,(707) 745-3360,1731-01,Electric Contractors,"Less Than $500,000",1731-01,Electric Contractors,,
10/02/2018,04/02/2019,ADT 24-7 Alarm Monitoring,,Benicia,CA,94510,,A,5 to 9,416094671,,,,,,(707) 745-4070,7382-02,Security Systems,"$500,000-1 Million",7382-02,Security Systems,,
10/02/2018,04/02/2019,Advanced Home Health Northbay,1100 Rose Dr # 160,Benicia,CA,94510,3642,C+,5 to 9,722433108,,,,,,(707) 745-3751,8082-01,Home Health Service,"Less Than $500,000",8082-01,Home Health Service,,
10/02/2018,04/02/2019,Advanced Mortgage,615 1st St,Benicia,CA,94510,3211,A,5 to 9,487441180,,,,,,(707) 750-5359,6162-01,Real Estate Loans,$1-2.5 Million,6162-01,Real Estate Loans,,
10/02/2018,04/02/2019,Advanced Mortgage Svc,1090 Adams St # L,Benicia,CA,94510,2953,B,1 to 4,712660615,,,,,,(707) 745-9600,6162-01,Real Estate Loans,$1-2.5 Million,6162-01,Real Estate Loans,,
10/02/2018,04/02/2019,Affiliated Insurance Brokers,1440 Military W # 202,Benicia,CA,94510,2450,C+,1 to 4,625822531,Small,Ric,Male,,,(707) 746-0590,7389-79,Notaries-Public,"Less Than $500,000",7389-79,Notaries-Public,,
10/02/2018,04/02/2019,Affordable Quality Cabinets,4852 E 2nd St,Benicia,CA,94510,1023,B+,1 to 4,394861439,Lemone,Allan,Male,Owner,(707) 745-1063,(707) 745-2100,5712-36,Cabinets,"$500,000-1 Million",5712-36,Cabinets,,
10/02/2018,04/02/2019,Aftermarket Radiator Exchange,4401 Park Rd,Benicia,CA,94510,1124,B+,1 to 4,440010134,,,,,,(989) 695-9700,7539-01,Automobile Radiator Repairing,"Less Than $500,000",7539-01,Automobile Radiator Repairing,,
10/02/2018,04/02/2019,Ahern Rentals,3673 Mallard Dr,Benicia,CA,94510,1244,A+,20 to 49,246605885,Callfield,Brian,Male,Manager,(707) 748-7996,(707) 748-1990,6531-27,Rental Agencies,$2.5-5 Million,6531-27,Rental Agencies,,
10/02/2018,04/02/2019,Albertson's Abbey Carpet-Floor,736 1st St,Benicia,CA,94510,3214,B+,5 to 9,715034074,,,,,,(707) 746-0324,5713-05,Carpet & Rug Dealers-New,$1-2.5 Million,5713-05,Carpet & Rug Dealers-New,,
10/02/2018,04/02/2019,Alex's Automotive Repair Ctr,3190 Bayshore Rd,Benicia,CA,94510,1232,A,5 to 9,308638261,Fernandez,Russ,Male,Owner,,(707) 746-5333,7538-01,Automobile Repairing & Service,"$500,000-1 Million",7538-01,Automobile Repairing & Service,,
10/02/2018,04/02/2019,Ali'i Sushi & Bbq,2126 Columbus Pkwy,Benicia,CA,94510,5402,B+,5 to 9,426423268,Ocreto,Ernest,Male,Owner,,(707) 747-5299,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,All About Beauty Day Spa,519 1st St,Benicia,CA,94510,3209,B+,1 to 4,416094616,,,,,,(707) 747-1471,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,All Gutters Svc,221 Commercial,Benicia,CA,94510,,B,1 to 4,657656559,,,,,,(707) 333-7058,1761-03,Gutters & Downspouts,"Less Than $500,000",1761-03,Gutters & Downspouts,,
10/02/2018,04/02/2019,Alliance Capital-Peter J Szabo,810 Oxford Way,Benicia,CA,94510,3646,A,1 to 4,858544497,Kraus,Peter,Male,CEO,,(707) 747-5104,6282-03,Financial Advisory Services,"Less Than $500,000",6282-03,Financial Advisory Services,,
10/02/2018,04/02/2019,Allstate Insurance,191 Military E # B,Benicia,CA,94510,2742,A,1 to 4,438235119,Guillermo,Jose N,Male,Owner,(707) 748-5818,(707) 748-5815,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Alpha Pacific Painting,113 Banbury Way,Benicia,CA,94510,1604,C+,1 to 4,410190948,,,,,,(707) 746-1656,1721-01,Painters,"Less Than $500,000",1721-01,Painters,,
